id,address,capacity,earthquake,elevation,evacuationSpace,fire,flood_L1,flood_L2,inundation,jurisdiction,latitude,longitude,name,residentsAssociation,sedimentDisaster,stormSurge,telephoneNumber,tunami
jp.takamatsu.smartcity.shelter.EvacuationSpace.21,高松市前田東町819-3,315,○,13.3,○,○,△,△,△,教育総務課,34.29588,134.11301944,前田小学校,前田校区コミュニティ協議会,○,○,087-847-6562,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.22,高松市東山崎町207-1,396,○,7.8,○,○,○,△,△,教育総務課,34.30559528,134.09283194,川添小学校,川添地区コミュニティ協議会,○,○,087-847-6055,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.23,高松市林町1108-1,315,○,13.8,○,○,○,○,○,教育総務課,34.30118417,134.07016472,林小学校,林地区コミュニティ協議会,○,○,087-865-6250,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.24,高松市三谷町2173-1,234,○,28.4,○,○,○,○,○,教育総務課,34.27360944,134.06860472,三渓小学校,三谷地区コミュニティ協議会,○,○,087-889-0767,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.25,高松市仏生山町甲2461,405,○,41.2,○,○,○,○,○,教育総務課,34.27413944,134.04763694,仏生山小学校,仏生山地区コミュニティ協議会,○,○,087-889-0549,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.26,あ高松市多肥上町902-2,315,○,25.2,○,○,○,○,○,教育総務課,34.29231528,134.05300278,多肥小学校,多肥地区コミュニティ協議会,○,○,087-889-0537,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.27,高松市一宮町672-1,405,○,33.5,○,○,○,△,○,教育総務課,34.29075917,134.02443861,一宮小学校,一宮地区コミュニティ協議会,○,○,087-885-1764,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.28,高松市円座町1630-2,301,○,38,○,○,○,△,△,教育総務課,34.28495667,134.00452389,円座小学校,円座校区コミュニティ協議会,○,○,087-885-2542,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.29,高松市川部町1552,315,○,53.4,○,○,○,○,△,教育総務課,34.26712278,134.00698528,川岡小学校,川岡校区コミュニティ協議会,○,○,087-885-1253,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.30,高松市御厩町816,405,○,26,○,○,○,○,△,教育総務課,34.30011306,133.99381611,檀紙小学校,檀紙地区コミュニティ協議会,○,○,087-885-1715,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.31,高松市鶴市町374-1,405,○,7.1,○,○,△,△,○,教育総務課,34.32895444,134.0047975,弦打小学校,弦打校区コミュニティ協議会,○,○,087-881-3523,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.32,高松市鬼無町佐藤607-1,315,○,21.9,○,○,○,○,○,教育総務課,34.32669889,133.98803778,鬼無小学校,鬼無地区コミュニティ協議会,○,○,087-881-2413,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.33,高松市香西南町703-1,464,○,2.3,○,○,○,△,△,教育総務課,34.34546083,133.99790028,香西小学校,香西地区コミュニティ協議会,○,△,087-881-3214,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.34,高松市生島町345,315,○,25.4,○,○,○,○,○,教育総務課,34.35779194,133.96827194,下笠居小学校,下笠居地区コミュニティ協議会,○,○,087-881-3011,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.35,高松市女木町236-2,245,△,5.3,○,○,○,○,○,教育総務課,34.39200944,134.05349667,女木小学校,女木地区コミュニティ協議会,○,△,087-839-2611,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.36,高松市男木町165,245,○,12.6,○,○,○,○,○,教育総務課,34.42010361,134.05682333,男木小・中学校,男木地区コミュニティ協議会,△,○,087-873-0506,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.37,高松市川島東町864-1,315,○,21.3,○,○,○,△,△,教育総務課,34.27599278,134.08886111,川島小学校,川島校区コミュニティ協議会,○,○,087-848-0050,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.38,高松市十川西町366-5,315,○,18.1,○,○,○,○,○,教育総務課,34.27514056,134.10269611,十河小学校,十河校区コミュニティ協議会,○,○,087-848-0319,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.39,高松市西植田町2337,229,○,45.8,○,○,○,○,○,教育総務課,34.23884139,134.07888833,植田小学校,植田校区コミュニティ協議会,×,○,087-849-0103,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.40,高松市東植田町2008,245,○,50.7,○,○,○,○,○,教育総務課,34.23871667,134.09762556,東植田小学校,東植田校区コミュニティ協議会,○,○,087-849-0062,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.41,高松市菅沢町339,168,○,323,○,○,○,○,○,教育総務課,34.19368583,134.09807139,東植田小学校菅沢分校,東植田校区コミュニティ協議会,○,○,087-839-2611,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.42,高松市桜町2-12-4,390,○,6.2,○,○,○,△,○,教育総務課,34.32629472,134.05290722,桜町中学校,栗林校区コミュニティ協議会,○,○,087-861-1668,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.43,高松市紫雲町8-25,477,○,2.1,○,○,○,△,△,教育総務課,34.3410425,134.03407222,紫雲中学校,亀阜校区コミュニティ協議会,○,△,087-861-7144,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.44,高松市上福岡町714-1,495,○,1.6,○,○,○,△,○,教育総務課,34.33427194,134.06648361,玉藻中学校,花園地区コミュニティ協議会,○,△,087-861-8196,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.45,高松市松島町2-14-5,721,○,3.1,○,○,○,○,△,教育総務課,34.33868806,134.06216972,高松第一学園（高松第一小・中学校）,松島地区コミュニティ協議会,○,△,087-832-0311,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.46,高松市松並町639-1,375,○,17.1,○,○,○,△,○,教育総務課,34.31513694,134.02639333,鶴尾中学校,鶴尾校区コミュニティ協議会,○,○,087-867-3382,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.47,高松市屋島中町295,362,○,1.8,○,○,○,△,△,教育総務課,34.34105528,134.10488833,屋島中学校,屋島地区コミュニティ協議会,○,△,087-841-2236,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.48,高松市元山町88-2,366,○,7.6,○,○,○,△,○,教育総務課,34.30690056,134.08575778,協和中学校,川添地区コミュニティ協議会,○,○,087-867-5937,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.49,高松市出作町331-2,354,○,32,○,○,○,○,○,教育総務課,34.28317167,134.05085028,龍雲中学校,多肥地区コミュニティ協議会,○,○,087-889-0131,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.50,高松市香西南町565,360,○,2.6,○,○,○,△,△,教育総務課,34.34179167,133.99928083,勝賀中学校,香西地区コミュニティ協議会,○,△,087-881-3141,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.51,高松市一宮町1185-1,396,○,32.3,○,○,○,△,○,教育総務課,34.29222583,134.0251275,一宮中学校,一宮地区コミュニティ協議会,○,○,087-885-1664,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.52,高松市円座町771,354,○,30.3,○,○,○,△,○,教育総務課,34.29535556,134.00882028,香東中学校,円座校区コミュニティ協議会,○,○,087-886-6580,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.53,高松市生島町372-1,396,○,32,○,○,○,○,○,教育総務課,34.35771139,133.96664167,下笠居中学校,下笠居地区コミュニティ協議会,○,○,087-881-2621,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.54,高松市川島東町1257-1,362,○,25.4,○,○,○,○,○,教育総務課,34.26812167,134.09285278,山田中学校,川島校区コミュニティ協議会,○,○,087-848-0071,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.55,高松市太田下町1800,439,○,18.9,○,○,○,○,○,教育総務課,34.30634139,134.04597778,太田中学校,太田南地区コミュニティ協議会,○,○,087-866-1370,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.56,高松市新田町甲190-1,345,○,2.5,○,○,○,△,△,教育総務課,34.33263944,134.10308861,古高松中学校,古高松地区コミュニティ協議会,○,△,087-841-1577,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.57,高松市木太町251,345,○,5.8,○,○,○,○,○,教育総務課,34.32491472,134.06983917,木太中学校,木太地区コミュニティ協議会,○,○,087-866-5588,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.58,高松市鹿角町394,370,○,26.1,○,×,○,△,○,香川大学,34.29923639,134.03327083,香川大学附属中学校（体育館）,一宮地区コミュニティ協議会,○,○,087-886-2121,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.59,高松市桜町2-5-10,953,○,5.2,○,○,○,△,○,高松第一高校,34.32800556,134.05254889,高松第一高校,栗林校区コミュニティ協議会,○,○,087-861-0244,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.60,高松市一宮町531,600,○,37.5,○,×,○,△,○,県高校教育課,34.285377,134.023029,高松南高等学校（体育館）,一宮地区コミュニティ協議会,○,○,087-885-1131,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.61,高松市多肥上町1250,760,○,23.2,○,×,○,○,○,県高校教育課,34.29496222,134.05620222,高松桜井高等学校（体育館）,多肥地区コミュニティ協議会,○,○,087-869-1010,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.62,高松市瀬戸内町22-9,101,○,1.8,○,×,○,△,○,地域振興課,34.3475725,134.03245556,日新コミュニティセンター,日新地区コミュニティ協議会,○,△,087-834-9911,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.63,高松市扇町2-8-7,93,○,1.5,○,×,○,△,○,地域振興課,34.34451167,134.03650806,二番丁コミュニティセンター,二番丁地区コミュニティ協議会,○,△,087-822-3556,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.64,高松市番町二丁目３－５,94,○,2.8,○,×,○,○,○,地域振興課,34.34355083,134.04488778,四番丁コミュニティセンター,四番丁コミュニティ協議会,○,△,087-851-8479,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.65,高松市宮脇町1-6-18,111,○,2.5,○,×,○,△,△,地域振興課,34.33958444,134.03529167,亀阜コミュニティセンター,亀阜校区コミュニティ協議会,○,△,087-834-0797,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.66,高松市栗林町3-2-12,86,○,7.7,○,×,○,○,○,地域振興課,34.32886944,134.04799917,栗林コミュニティセンター,栗林校区コミュニティ協議会,○,○,087-835-5399,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.67,高松市観光通2-8-9,112,○,1.7,○,×,○,○,○,地域振興課,34.33607972,134.05686194,花園コミュニティセンター,花園地区コミュニティ協議会,○,△,087-835-5398,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.68,高松市松福町2-15-24,123,○,1.5,○,×,○,○,△,地域振興課,34.34022667,134.06502778,松島コミュニティセンター,松島地区コミュニティ協議会,○,△,087-821-0435,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.69,高松市築地町14-1,122,○,1.6,○,×,○,○,△,地域振興課,34.34125139,134.05681472,築地コミュニティセンター,築地地区コミュニティ協議会,○,△,087-862-1166,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.70,高松市城東町1-1-47,95,○,2.2,○,×,○,○,○,地域振興課,34.34741472,134.05595611,新塩屋町コミュニティセンター,新塩屋町地区コミュニティ協議会,○,△,087-822-1066,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.71,高松市田村町303-1,84,○,18.4,○,×,○,○,○,地域振興課,34.31382333,134.03022889,鶴尾コミュニティセンター,鶴尾校区コミュニティ協議会,○,○,087-866-3176,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.72,高松市伏石町2016-37,100,○,8.8,○,×,○,○,○,地域振興課,34.318641, 134.054399,太田コミュニティセンター,太田地区コミュニティ協議会,○,○,087-867-1139,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.73,高松市太田上町1045-2,81,○,23.1,○,×,○,○,○,地域振興課,34.30185833,134.04128111,太田南コミュニティセンター,太田南地区コミュニティ協議会,○,○,087-865-9947,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.74,高松市松縄町1108-1,81,○,8.4,○,×,○,○,○,地域振興課,34.31384917,134.06404833,太田中央コミュニティセンター,太田地区コミュニティ協議会,○,○,087-867-3396,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.75,高松市木太町3480-2,104,○,20.6,○,×,○,△,○,地域振興課,34.326186,134.076753,木太コミュニティセンター,木太地区コミュニティ協議会,○,△,087-834-5547,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.76,高松市木太町2603,71,○,1,○,×,○,△,○,地域振興課,34.33559694,134.07944333,木太北部コミュニティセンター,木太地区コミュニティ協議会,○,△,087-831-9000,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.77,高松市木太町1486,74,○,3,○,×,○,△,○,地域振興課,34.31924611,134.07618028,木太南コミュニティセンター,木太地区コミュニティ協議会,○,△,087-865-4273,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.78,高松市高松町10-20,90,○,2.9,○,×,○,×,×,地域振興課,34.33566417,134.10751306,古高松コミュニティセンター,古高松地区コミュニティ協議会,○,×,087-841-6262,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.79,高松市春日町782-2,69,○,2.4,○,×,○,×,○,地域振興課,34.32697333,134.09171194,古高松南コミュニティセンター,古高松地区コミュニティ協議会,○,△,087-841-2186,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.80,高松市屋島中町449-1,61,○,2.2,○,×,○,△,△,地域振興課,34.34371056,134.10129944,屋島コミュニティセンター,屋島地区コミュニティ協議会,○,△,087-841-6927,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.81,高松市屋島西町2483-2,80,○,3,○,×,○,△,○,地域振興課,34.35227583,134.08916139,屋島西コミュニティセンター,屋島地区コミュニティ協議会,○,△,087-843-2961,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.82,高松市屋島東町928,75,○,10.5,○,×,○,○,○,地域振興課,34.35496778,134.11591722,屋島東コミュニティセンター,屋島地区コミュニティ協議会,○,○,087-841-9931,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.83,高松市前田東町838,77,○,13.5,○,×,○,○,△,地域振興課,34.29657722,134.11259444,前田コミュニティセンター,前田校区コミュニティ協議会,○,○,087-847-6168,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.84,高松市元山町136-4,118,○,8.6,○,×,○,△,△,地域振興課,34.30697278,134.08946833,川添コミュニティセンター,川添地区コミュニティ協議会,○,○,087-847-5979,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.85,高松市林町329-1,113,○,13.2,○,×,○,○,○,地域振興課,34.29767,134.07622,林コミュニティセンター,林地区コミュニティ協議会,○,○,087-866-3405,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.86,高松市三谷町1201-1,143,○,26,○,×,○,○,○,地域振興課,34.27796722,134.06945722,三谷コミュニティセンター,三谷地区コミュニティ協議会,○,○,087-889-4938,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.87,高松市仏生山町乙45-4,121,○,36.6,○,×,○,○,○,地域振興課,34.27850556,134.04784528,仏生山コミュニティセンター,仏生山地区コミュニティ協議会,○,○,087-889-4955,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.88,高松市多肥上町433-5,89,○,26.9,○,×,○,○,○,地域振興課,34.29044611,134.05146667,多肥コミュニティセンター,多肥地区コミュニティ協議会,○,○,087-889-4956,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.89,高松市一宮町838-1,153,○,33.9,○,×,○,△,○,地域振興課,34.29067333,134.02893556,一宮コミュニティセンター,一宮地区コミュニティ協議会,○,○,087-886-4793,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.90,高松市円座町1622-1,90,○,38.1,○,×,○,△,○,地域振興課,34.28543722,134.00547111,円座コミュニティセンター,円座校区コミュニティ協議会,○,○,087-886-4993,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.91,高松市川部町486-3,130,○,52.5,○,×,○,△,○,地域振興課,34.269316,134.009945,川岡コミュニティセンター,川岡校区コミュニティ協議会,○,○,087-886-4963,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.92,高松市御厩町775-1,99,○,24.1,○,×,○,△,○,地域振興課,34.30092139,133.99466861,檀紙コミュニティセンター,檀紙地区コミュニティ協議会,○,○,087-886-4955,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.93,高松市鶴市町356-3,131,○,7.1,○,×,△,△,○,地域振興課,34.32894333,134.00571417,弦打コミュニティセンター,弦打校区コミュニティ協議会,○,○,087-882-0285,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.94,高松市鬼無町佐藤31-3,127,○,12.8,○,×,○,○,○,地域振興課,34.32707667,133.99324306,鬼無コミュニティセンター,鬼無地区コミュニティ協議会,○,○,087-882-0875,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.95,高松市香西本町476-1,130,○,3.6,○,×,○,○,○,地域振興課,34.34682444,133.99622,香西コミュニティセンター,香西地区コミュニティ協議会,○,△,087-882-0294,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.96,高松市生島町353-1,230,○,24.2,○,×,○,○,○,地域振興課,34.35870861,133.96876639,下笠居コミュニティセンター,下笠居地区コミュニティ協議会,○,○,087-882-0856,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.97,高松市女木町203-1,61,○,7.7,○,×,○,○,○,地域振興課,34.39210389,134.0517525,女木コミュニティセンター,女木地区コミュニティ協議会,○,○,087-873-0105,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.98,高松市男木町1988,62,○,2.4,○,×,○,○,○,地域振興課,34.422622,134.054127,男木コミュニティセンター,男木地区コミュニティ協議会,○,×,087-873-0002,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.99,高松市川島本町191-2,123,○,21.2,○,×,○,○,○,地域振興課,34.27605389,134.08523639,川島コミュニティセンター,川島校区コミュニティ協議会,○,○,087-848-0054,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.100,高松市西植田町2247-1,73,○,41.8,○,×,○,○,○,地域振興課,34.24028,134.07882694,西植田コミュニティセンター,植田校区コミュニティ協議会,○,○,087-849-0101,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.101,高松市東植田町1825-1,92,○,51.8,○,×,○,○,○,地域振興課,34.23821417,134.09904472,東植田コミュニティセンター,東植田校区コミュニティ協議会,○,○,087-849-0104,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.102,高松市牟礼町牟礼1583-1,550,○,42.2,○,×,○,○,○,県高校教育課,34.34605,134.1427625,高松北高等（中）学校（体育館）,むれコミュニティ協議会,△,○,087-845-2155,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.103,高松市牟礼町牟礼46-2,452,○,31.8,○,○,○,○,○,教育総務課,34.33900083,134.14328222,牟礼中学校,むれコミュニティ協議会,△,○,087-845-9604,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.104,高松市牟礼町牟礼302-1,149,○,14.8,○,×,○,○,○,地域振興課,34.33782306,134.13914083,牟礼コミュニティセンター,むれコミュニティ協議会,○,○,087-845-4111,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.105,あ高松市牟礼町牟礼152-10,1100,○,37.9,○,×,○,○,○,スポーツ振興課,34.34252806,134.14306528,牟礼総合体育館,むれコミュニティ協議会,×,○,087-845-7060,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.106,高松市牟礼町牟礼2900-1,318,○,12.6,○,○,○,○,○,教育総務課,34.35012694,134.12606667,牟礼北小学校,むれコミュニティ協議会,○,○,087-845-5742,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.107,高松市牟礼町大町1560,348,○,15.1,○,○,○,○,○,教育総務課,34.33645944,134.14152389,牟礼小学校,むれコミュニティ協議会,○,○,087-845-9239,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.108,高松市牟礼町原1019-8,360,○,27.6,○,○,○,○,○,スポーツ振興課,34.32021139,134.15081806,牟礼中央公園運動センター,むれコミュニティ協議会,○,○,087-845-1563,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.109,高松市牟礼町大町1115-1,261,○,13.3,○,○,○,○,○,教育総務課,34.33318222,134.15272861,牟礼南小学校,むれコミュニティ協議会,○,○,087-845-9324,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.110,高松市牟礼町原570-1,60,○,7.4,,×,○,○,○,こども園運営課,34.32863278,134.15596194,はらこども園,むれコミュニティ協議会,○,○,087-845-0234,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.111,高松市牟礼町大町1463-2,121,○,13.6,○,×,○,○,○,地域振興課,34.33609278,134.14272944,大町コミュニティセンター,むれコミュニティ協議会,○,○,087-870-1306,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.112,高松市牟礼町原281-1,420,○,21.5,○,×,○,○,○,県立保健医療大学,34.32183361,134.1581675,香川県立保健医療大学（体育館）,むれコミュニティ協議会,○,○,087-870-1212,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.113,高松市庵治町6391-17,87,○,3.2,,×,○,○,○,牟礼総合センター,34.36844139,134.12065806,深間ふれあいセンター,庵治地区コミュニティ協議会,×,○,-,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.114,高松市庵治町691-1,441,○,2.7,○,○,○,○,○,教育総務課,34.38324278,134.13077056,庵治中学校,庵治地区コミュニティ協議会,○,△,087-871-2716,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.115,高松市庵治町790-1,243,○,2.1,○,○,○,○,○,教育総務課,34.3844425,134.13185389,庵治小学校,庵治地区コミュニティ協議会,○,△,087-871-2581,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.116,高松市庵治町888-1,226,○,3.3,○,×,○,○,○,地域振興課,34.3853175,134.12994833,庵治コミュニティセンター・庵治武道館,庵治地区コミュニティ協議会,○,△,087-871-4162,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.117,高松市庵治町866-4,387,○,3.1,○,×,○,○,○,教育総務課,34.38540639,134.13037611,庵治小学校第二体育館,庵治地区コミュニティ協議会,○,△,087-871-2581,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.118,高松市庵治町6392-14,98,○,2.7,,×,○,○,○,牟礼総合センター,34.38297056,134.12712111,庵治やすらぎ会館,庵治地区コミュニティ協議会,○,△,087-871-5111,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.119,高松市庵治町1391,80,○,36.2,,×,○,○,○,市民やすらぎ課,34.39073917,134.13615889,庵治斎場,庵治地区コミュニティ協議会,○,○,087-871-2539,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.120,高松市庵治町6034-1,182,-,2.7,○,-,-,-,-,教育総務課,34.40445917,134.10570278,庵治第二小学校,庵治地区コミュニティ協議会,-,-,087-871-5110,-
jp.takamatsu.smartcity.shelter.EvacuationSpace.121,高松市香川町大野1329-1,108,○,56.5,○,×,○,○,○,地域振興課,34.26717583,134.02466444,大野コミュニティセンター,大野校区コミュニティ協議会,○,○,087-886-1960,○
